Country,ISO_Code,Level,GDLCODE,Region,"2018"
"United States","USA","National","USAt","Total",0.920
"United States","USA","Subnat","USAr101","Alabama",0.877
"United States","USA","Subnat","USAr102","Alaska",0.937
"United States","USA","Subnat","USAr103","Arizona",0.908
"United States","USA","Subnat","USAr104","Arkansas",0.877
"United States","USA","Subnat","USAr105","California",0.930
"United States","USA","Subnat","USAr106","Colorado",0.942
"United States","USA","Subnat","USAr107","Connecticut",0.953
"United States","USA","Subnat","USAr108","Delaware",0.930
"United States","USA","Subnat","USAr109","District of Columbia",0.942
"United States","USA","Subnat","USAr110","Florida",0.909
"United States","USA","Subnat","USAr111","Georgia",0.902
"United States","USA","Subnat","USAr112","Hawaii",0.940
"United States","USA","Subnat","USAr113","Idaho",0.907
"United States","USA","Subnat","USAr114","Illinois",0.929
"United States","USA","Subnat","USAr115","Indiana",0.906
"United States","USA","Subnat","USAr116","Iowa",0.928
"United States","USA","Subnat","USAr117","Kansas",0.922
"United States","USA","Subnat","USAr118","Kentucky",0.881
"United States","USA","Subnat","USAr119","Louisiana",0.885
"United States","USA","Subnat","USAr120","Maine",0.914
"United States","USA","Subnat","USAr121","Maryland",0.935
"United States","USA","Subnat","USAr122","Massachusetts",0.956
"United States","USA","Subnat","USAr123","Michigan",0.912
"United States","USA","Subnat","USAr124","Minnesota",0.947
"United States","USA","Subnat","USAr125","Mississippi",0.863
"United States","USA","Subnat","USAr126","Missouri",0.905
"United States","USA","Subnat","USAr127","Montana",0.917
"United States","USA","Subnat","USAr128","Nebraska",0.934
"United States","USA","Subnat","USAr129","Nevada",0.902
"United States","USA","Subnat","USAr130","New Hampshire",0.943
"United States","USA","Subnat","USAr131","New Jersey",0.943
"United States","USA","Subnat","USAr132","New Mexico",0.900
"United States","USA","Subnat","USAr133","New York",0.942
"United States","USA","Subnat","USAr134","North Carolina",0.905
"United States","USA","Subnat","USAr135","North Dakota",0.942
"United States","USA","Subnat","USAr136","Ohio",0.913
"United States","USA","Subnat","USAr137","Oklahoma",0.894
"United States","USA","Subnat","USAr138","Oregon",0.929
"United States","USA","Subnat","USAr139","Pennsylvania",0.922
"United States","USA","Subnat","USAr140","Rhode Island",0.920
"United States","USA","Subnat","USAr141","South Carolina",0.890
"United States","USA","Subnat","USAr142","South Dakota",0.929
"United States","USA","Subnat","USAr143","Tennessee",0.892
"United States","USA","Subnat","USAr144","Texas",0.909
"United States","USA","Subnat","USAr145","Utah",0.930
"United States","USA","Subnat","USAr146","Vermont",0.936
"United States","USA","Subnat","USAr147","Virginia",0.929
"United States","USA","Subnat","USAr148","Washington",0.940
"United States","USA","Subnat","USAr149","West Virginia",0.872
"United States","USA","Subnat","USAr150","Wisconsin",0.928
"United States","USA","Subnat","USAr151","Wyoming",0.932
