,state,candidate,party,total_state
0,Delaware,Joe Biden,DEM,296268
1,Delaware,Donald Trump,REP,200603
2,Delaware,Jo Jorgensen,LIB,5000
3,Delaware,Howie Hawkins,GRN,2139
12,District of Columbia,Joe Biden,DEM,285728
13,District of Columbia,Donald Trump,REP,16306
14,District of Columbia, Write-ins,WRI,2647
15,District of Columbia,Howie Hawkins,GRN,1493
16,District of Columbia,Jo Jorgensen,LIB,1695
17,District of Columbia,Gloria La Riva,PSL,726
18,District of Columbia,Brock Pierce,IND,595
68,Florida,Joe Biden,DEM,5294767
69,Florida,Donald Trump,REP,5667474
70,Florida,Jo Jorgensen,LIB,70249
71,Florida, Write-ins,WRI,12479
72,Florida,Howie Hawkins,GRN,14707
73,Florida,Gloria La Riva,PSL,5709
74,Florida,Rocky De La Fuente,ALI,5964
75,Florida,Don Blankenship,CST,4097
590,Georgia,Donald Trump,REP,2458010
591,Georgia,Joe Biden,DEM,2472182
592,Georgia,Jo Jorgensen,LIB,62060
596,Georgia, Write-ins,WRI,457
1086,Hawaii,Joe Biden,DEM,366070
1087,Hawaii,Donald Trump,REP,196800
1088,Hawaii,Jo Jorgensen,LIB,5538
1089,Hawaii,Howie Hawkins,GRN,3819
1090,Hawaii,Brock Pierce,IND,1183
1091,Hawaii,Don Blankenship,CST,931
1110,Idaho,Donald Trump,REP,554128
1111,Idaho,Joe Biden,DEM,287031
1112,Idaho,Jo Jorgensen,LIB,16404
1113,Idaho,Kanye West,IND,3632
1114,Idaho,Brock Pierce,IND,2808
1115,Idaho,Don Blankenship,CST,1886
1116,Idaho,Rocky De La Fuente,ALI,1491
1124,Idaho, Write-ins,WRI,745
1431,Illinois,Donald Trump,REP,2788357
1432,Illinois,Joe Biden,DEM,4148322
1433,Illinois,Jo Jorgensen,LIB,74388
1434,Illinois,Howie Hawkins,GRN,35289
1435,Illinois, Write-ins,WRI,5371
1436,Illinois,Brian Carroll,ASP,10830
1437,Illinois,Gloria La Riva,PSL,9173
2152,Indiana,Donald Trump,REP,1729101
2153,Indiana,Joe Biden,DEM,1241496
2154,Indiana,Jo Jorgensen,LIB,58862
2155,Indiana, Write-ins,WRI,5139
2484,Iowa,Donald Trump,REP,897149
2485,Iowa,Joe Biden,DEM,758416
2486,Iowa,Jo Jorgensen,LIB,19698
2487,Iowa,Brock Pierce,IND,551
2488,Iowa,Kanye West,IND,3201
2489,Iowa,Rocky De La Fuente,ALI,1079
2490,Iowa, Write-ins,WRI,1860
2491,Iowa,Don Blankenship,CST,2302
2492,Iowa,Howie Hawkins,GRN,3069
2493,Iowa,Ricki Sue King,OTH,546
3412,Kansas,Donald Trump,REP,753370
3413,Kansas,Joe Biden,DEM,551199
3414,Kansas,Jo Jorgensen,LIB,29470
3415,Kansas, Write-ins,WRI,291
3744,Kentucky,Donald Trump,REP,1326347
3745,Kentucky,Joe Biden,DEM,772223
3746,Kentucky,Jo Jorgensen,LIB,26212
3747,Kentucky,Kanye West,IND,6556
3748,Kentucky,Brock Pierce,IND,3626
3749,Kentucky, Write-ins,WRI,229
4368,Louisiana,Donald Trump,REP,1255776
4369,Louisiana,Joe Biden,DEM,856034
4370,Louisiana,Jo Jorgensen,LIB,21645
4371,Louisiana,Kanye West,IND,4897
4372,Louisiana,Brian Carroll,ASP,2497
4373,Louisiana,Jade Simmons,IND,1626
4374,Louisiana,Don Blankenship,CST,860
4375,Louisiana,President Boddie,IND,1125
4376,Louisiana,Bill Hammons,UTY,662
4377,Louisiana,Tom Hoefling,LLC,668
4378,Louisiana,Brock Pierce,IND,749
4379,Louisiana,Gloria La Riva,PSL,987
4380,Louisiana,Alyson Kennedy,SWP,536
5200,Maine,Donald Trump,REP,341949
5201,Maine,Joe Biden,DEM,420357
5202,Maine, Write-ins,WRI,1557
5203,Maine,Jo Jorgensen,LIB,13402
5204,Maine,Howie Hawkins,GRN,7877
5205,Maine,Rocky De La Fuente,ALI,1195
8188,Maryland,Donald Trump,REP,951519
8189,Maryland,Joe Biden,DEM,1872183
8190,Maryland,Jo Jorgensen,LIB,31868
8191,Maryland,Howie Hawkins,GRN,14820
