state,votes,electoral_vote
Delaware,504010,0.0
District of Columbia,309190,0.0
Florida,11075446,0.0
Georgia,4992198,0.0
Hawaii,573854,0.0
Idaho,867971,0.0
Illinois,5501179,0.0
Indiana,3032025,0.0
Iowa,1687694,0.0
Kansas,1334330,0.0
Kentucky,2135193,0.0
Louisiana,2148062,0.0
Maine,786337,0.0
Maryland,2666203,0.0
Massachusetts,3481798,0.0
Michigan,5531329,0.0
Minnesota,3272461,0.0
Mississippi,1159362,0.0
Missouri,3010316,0.0
Montana,602777,0.0
Nebraska,942480,0.0
Nevada,1336407,0.0
New Hampshire,804453,0.0
New Jersey,3926547,0.0
New Mexico,920930,0.0
New York,6647018,0.0
North Carolina,5465847,0.0
North Dakota,361656,0.0
Ohio,5764587,0.0
Oklahoma,1560699,0.0
Oregon,2349283,0.0
Pennsylvania,6784459,0.0
Rhode Island,513503,0.0
South Carolina,2513824,0.0
South Dakota,422677,0.0
Tennessee,3049514,0.0
Texas,11255671,0.0
Utah,1403752,0.0
Vermont,350178,0.0
Virginia,4442049,0.0
Washington,4000679,0.0
West Virginia,790253,0.0
Wisconsin,3297473,0.0
Wyoming,276528,0.0
Alabama,2309900,0.0
Arkansas,1209372,0.0
California,15975229,0.0
Colorado,3212169,0.0
Connecticut,1821878,0.0
United States,151969742,
Alaska,240234,75.0
Arizona,3348758,0.0
